Lactobacillus iners,Firmicutes,Chloroflexi <Chloroflexi>,Weissella,Lactobacillus helveticus,Veillonella,Gardnerella vaginalis,Lactobacillus jensenii,Bacteroides vulgatus,Terrabacteria group,Lactobacillus crispatus,PVC group,Finegoldia magna,Prevotella timonensis,Bacteria <bacteria>
0.5931758530183727,0.0,0.0,0.0,0.0834645669291338,0.0010498687664041,0.0,0.0,0.0015748031496062,0.0,0.0,0.0,0.0,0.005774278215223,0.011023622047244
0.0012262415695892,0.0,0.0,0.0,0.8031882280809319,0.0,0.0,0.0,0.0067443286327406,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9607081174438687,0.0,0.0,0.0,0.0012953367875647,0.0,0.0,0.0,0.0,0.0,0.0
0.9275436793422404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8065934065934066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6864652671104284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.936200716845878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8542085607584028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9404007535536908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9344594594594594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016097875080489,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0021318173743116,0.0,0.0040859833007639,0.0014212115828744,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0011996572407883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0043399638336347,0.0,0.0,0.0553345388788426,0.0,0.0,0.0,0.0,0.0314647377938517,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0235294117647058,0.0,0.0,0.0,0.7082352941176471,0.0629411764705882,0.0023529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
0.0912124582869855,0.0027808676307007,0.0,0.0,0.4060066740823136,0.0550611790878754,0.0684093437152391,0.0,0.003893214682981,0.0,0.0,0.0,0.0,0.0,0.0155728587319243
0.861304347826087,0.0,0.0,0.0,0.0252173913043478,0.0013043478260869,0.0,0.0,0.008695652173913,0.0,0.0,0.0,0.0,0.0013043478260869,0.0147826086956521
0.0,0.0,0.0,0.0,0.156390977443609,0.0947368421052631,0.2714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0105263157894736,0.0
